mean,min,max,q0.025,q0.05,q0.25,q0.5,q0.75,q0.9,q0.975,year,alt
123355146.81835,18552968.5909023,500479191.673508,25648451.4912752,36153366.1467536,64386793.3696905,103349477.890395,160049852.609891,222329307.200524,309535390.059487,2003,MaxWater
94922428.7489467,11225061.2063442,388355973.731593,19700889.6296865,25263461.7971763,50100182.5770523,82685451.031859,126252560.69955,166129920.647733,245641791.395732,2004,MaxWater
83372585.224561,7706239.743638,326494618.833061,16978221.9982622,19580291.5548774,43288987.8907838,71467568.510213,108432792.763936,149037678.391344,224035743.630004,2005,MaxWater
89618440.5765547,7347018.18291142,415439590.753448,18558760.9202219,23523034.900865,46481734.507532,75751165.7209938,118008522.39527,160583704.022916,226249635.040852,2006,MaxWater
42837841.6341926,3937614.59777699,254975106.357618,7937385.36264075,10212314.0797211,21362593.6980983,36482194.7768122,57101776.2985788,77689981.0307077,113340047.632264,2007,MaxWater
34562591.1594698,2995451.11157822,182493979.21742,7219944.99335033,8511440.2322357,16836885.8146053,28956401.5943193,46105364.905341,63833337.880362,92009322.9562661,2008,MaxWater
31041848.951437,2641353.22236838,156589805.8461,5237825.18794308,6621082.14253372,14385578.823716,24688078.2721874,40493112.5984189,59905202.530181,90402177.5301228,2009,MaxWater
19419432.2544956,1226956.77166643,115954175.638706,3217140.56798802,4266458.63781828,8913973.06404478,15901193.4158791,25401793.3701568,37371696.364338,54463607.7731324,2010,MaxWater
10598784.1375743,803664.493821476,67368169.9848261,1817794.20704809,2292461.25250254,4423163.09437764,8798648.80086652,14212484.4209702,19796829.5460496,30442116.0810003,2011,MaxWater
10314078.0430133,775142.564047876,59402593.6511732,1731295.24061607,2086511.07530801,4433614.42338452,8695555.14265923,13757334.2212278,19378159.8924874,31085538.0370434,2012,MaxWater
4145686.12421103,294955.033140401,22415007.3614981,598411.418722247,829398.192602641,1660276.50774539,3279364.14274763,5532839.34429139,8501622.91468033,13825575.4277394,2013,MaxWater
1617753.88549779,132024.800554478,9576926.13502816,238846.090515233,318524.844878443,631847.758484327,1250114.41927182,2051458.50992551,3317089.23999802,5074568.10991826,2014,MaxWater
6726284.68028788,1262314.57342135,19694899.4374995,1865053.75060681,2589625.5397218,4398265.91855543,6264122.74182288,8393804.54211822,10954854.7663581,15010158.9680942,1996,MaxWater_noSMSCG
5411627.67352677,806196.121135975,19117999.8349377,1388523.50645521,1750538.43172896,3338479.19534605,4893974.02956317,6901183.17836122,9074898.167733,11995065.9694118,1997,MaxWater_noSMSCG
6864044.43286853,722058.423965393,27580939.764297,1725533.08278049,2191083.15824915,4133682.67292818,5678166.6234705,8771147.73047674,12401944.0408878,17253834.5439062,1998,MaxWater_noSMSCG
15943654.2222742,1557504.72971699,67214119.5204104,3846480.00631964,4753622.64726116,9457734.68914593,13244596.7066864,20488324.3387088,30338950.7014317,40684854.7921207,1999,MaxWater_noSMSCG
31806023.1825758,3393367.340216,130728347.497704,6846930.94748464,9319141.28179704,18458288.6402455,25731018.0109562,41210827.8677269,59316818.3101163,76480233.2508618,2000,MaxWater_noSMSCG
48028620.1712688,3378902.96792462,233586744.515842,9115437.23898889,12429837.6258634,26457015.1560436,39787969.6436415,63462967.0211115,88432397.8862928,115507173.375397,2001,MaxWater_noSMSCG
