"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"June",2011,-4516.12903225806,-4223.21428571429,2729.7454470409,-3975.76270523339,-4725.11300645154,-5000,-9712.80645464849,-10086.61549352,-10091.5226754398,-8993.21540405149,-9310.49112188175,-6184.86637576127
"June",2012,-3967.62886108131,-2329.64142979583,-3905,-2725.91780400391,-3138.05932525954,-4475,-11128.7141859949,-11592.4925353434,-5614.31448683193,-5863.18716838887,-7251.90388801841,-5290.32258064516
"June",2013,-4363.70967741936,-4325,-3500,-1918.71918687032,-1819.7950111812,-4400,-5380.72434251783,-3800.30812479217,-5295.0808482391,-1782.01267168246,-1916.76295489981,-1967.08254784439
"June",2014,-557.747709752756,-3808.03571428571,-4325,-1618.65876686647,-1439.22222549713,-1463.55996593777,-1550.00480879662,-1314.30361668246,-2634.77642087172,-1874.59659255662,-1602.11979059574,-5290.32258064516
"MaxDS_Even",1995,-3645.16129032258,-4464.28571428571,-3880.02990931401,-4209.35031654559,-551.371303632132,-4539.02951033083,-8325.5315347094,-6462.58176736076,-8965.57277452539,-4222.74146424068,-9939.95915955434,-5290.32258064516
"MaxDS_Even",1996,-4516.12903225806,-4625,-4550,-4130,-4027.54235224876,-4505,-10257.389968507,-10723.8149212076,-7704.5878573884,-3686.34838501412,-8594.09086010726,-2945.41262509052
"MaxDS_Even",1997,25254.5295802956,-2046.6282113387,-4460.58202485999,-3482.45474637715,-3009.61137583457,-2382.59386804333,-10472.6214998278,-4907.26260531565,-4901.24647181686,-3139.76331466925,-8431.22107777094,-5290.32258064516
"MaxDS_Even",1998,-4516.12903225806,4408.5737950941,-4550,-2260.95642903947,-184.847473580887,-2197.77261424088,-8321.24384241288,-9414.64767196734,-8738.1427958617,-5763.38739415445,-8745.28088538066,-5290.32258064516
"MaxDS_Even",1999,-4516.12903225806,-4625,-4550,-3971.97027751289,-3836.87376527372,-4505,-10484.5169604156,-8640.01649636189,-7047.39588224947,-4689.2735280235,-8232.68540764755,-5722.6037550978
"MaxDS_Even",2000,-3645.16129032258,-3883.33459985285,-4025,-3995,-3662.99833793279,-2261.31834107939,-10376.116079316,-5044.39357319692,-5208.5754291415,-1399.8906918104,-6837.65645058206,-4121.82618790088
"MaxDS_Even",2001,-4745,-3580.35714285714,-3905,-1818.07912407173,-745.749597616962,-1334.04781253442,-3867.11608174497,-2998.40701949982,-4864.3032813861,-2034.22458064177,-4707.8893166844,-5290.32258064516
"MaxDS_Even",2002,-3875.96774193548,-3219.46835232889,-3500,-2507.39055673009,-2711.84586897329,-4400,-7344.01820555961,-5353.6195631463,-4871.35296159844,-3790.10046980534,-4641.27317655455,-5290.32258064516
"MaxDS_Even",2003,-3875.96774193548,-3741.07142857143,-3500,-2358.1452710906,-3418.11048078168,-4332.08984134381,-9759.37812858812,-5734.95172939671,-10509.2865576764,-3115.07358813887,-7677.5346864467,-5290.32258064516
"MaxDS_Even",2004,-4343.38709677419,-4237.06896551724,-3575,-2570.4026864642,-2725.42869055955,-4475,-11248.6221844924,-11230.9167714001,-7034.56871659649,-6880.42073779865,-5358.76957275347,-5290.32258064516
