"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxDS_Hist",1999,-4516.12903225806,-4223.21428571428,-3650,-3451.39818143837,-4005.36722657317,-2111.40999428813,-10800.8389525586,-10245.3412857248,-5061.45959831615,-4701.36598214371,-8563.21110439718,-8075.59911219932
"MaxDS_Hist",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-9367.97051050251,-8605.11387602164,-3870.32585096782,-3149.13882612245,-7891.96915425205,-5022.71084224142
"MaxDS_Hist",2001,-4745,-3580.35714285714,-3905,-1611.601664238,-2322.75826812087,-2812.15492655341,-4552.61882261955,-3877.61261702616,-4884.08643322275,-4381.91499518367,-5628.04910804709,-5290.32258064516
"MaxDS_Hist",2002,-3875.96774193548,-4030.35714285714,-3500,-2648.57195878429,-2799.68807513026,-4400,-7537.96222664382,-5247.92517823204,-5833.70138678224,-5118.29209469147,-5728.83871030796,-5290.32258064516
"MaxDS_Hist",2003,-3875.96774193548,-3741.07142857143,-3500,-2542.89371497366,-3397.17483065414,-2470.79707852948,-10290.7556505912,-11644.5453241321,-6072.98933084972,-3304.83002358263,-7693.77212727058,-5290.32258064516
"MaxDS_Hist",2004,-4343.38709677419,-4187.93103448276,-3575,-2761.15934475809,-2716.06032410081,-4475,-11297.9432342822,-11684.615475171,-6255.39876032167,-6730.21415642889,-5906.31540592778,-5290.32258064516
"MaxDS_Hist",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9741.79998271566,-10776.4983244327,-10352.4320540244,-9438.22255431792,-9514.28042007948,-5290.32258064516
"MaxDS_Hist",2006,-4275.87765963571,-4464.28571428571,-741.504657763706,1908.4200185624,1156.08826323181,-4495.53283296191,-7888.73672120276,-7038.18884383922,-4204.41747774691,-3625.73761608534,-9316.6635398063,-9938.40897120732
"MaxDS_Hist",2007,-5000,-3625.89285714286,-3500,-2440.18122727416,-2741.94480919084,-4400,-7981.25863945621,-5419.8859600738,-5413.01937093225,-4353.98618761161,-3207.59462805633,-3856.1342193523
"MaxDS_Hist",2008,-3126.93548387097,-4040.51724137931,-2800.66434975413,-2402.56167033132,-2617.87634957871,-3268.69420325108,-4556.96547549957,-3581.10074666104,-4457.49866412838,-3974.68878222528,-3430.17515970807,-2135.17680758188
"MaxDS_Hist",2009,-3245.81249239425,-3808.03571428571,-3905,-2786.90117027024,-3027.91481024537,-4015.12511650715,-5393.55439113677,-4496.11369309588,-6308.56394268239,-5486.71024118279,-3466.82115876405,-3698.32021030316
"MaxDS_Hist",2010,-3126.93548387097,-4030.35714285714,-3905,-3498.44842857443,-3622.78092452585,-4475,-10701.3749287636,-11461.0908796225,-8654.40868506188,-9203.65929652816,-9220.38229442813,-5290.32258064516
"MaxDS_Hist",2011,-4363.70967741936,-4223.21428571429,2196.4911180756,-3771.17666811235,-4794.27444852961,-3698.39875134838,-8045.54588262051,-9128.24825776774,-9729.30053038169,-6655.44261382005,-9125.69781268656,-8143.38191102349
"MaxDS_Hist",2012,-5000,-4250,-3905,-2737.19889989044,-3146.99956692444,-4475,-10541.3833623916,-10436.8216401558,-6427.75733385702,-5853.87851214002,-6347.1270956041,-5290.32258064516
"MaxDS_Hist",2013,-4775,-3604.80221951727,-3500,-1998.29031246284,-2728.74860103936,-4400,-10248.1828716554,-5452.08836435674,-5248.53251388304,-4057.42624708062,-2528.15557283284,-2463.77676004763
