"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1953-06-30,4500,3425.19995117188,967,2,27.085875,217.23517,1930.32115363824,2893.55910658984,"MaxWater_noSMSCG",1953,6
1953-07-31,3991.13194107031,2867.85261082399,883.469662499587,2,23.3530995,205.76566,7180,4590.73226598506,"MaxWater_noSMSCG",1953,7
1953-08-31,3700,2427.14574820086,792,2,20.879352,348.0568,6670.19364192101,4592.28852900449,"MaxWater_noSMSCG",1953,8
1953-09-30,3400,2288.97255332122,752,2,77.1335353,1129.8129,5841.25753602691,4596.97579210956,"MaxWater_noSMSCG",1953,9
1953-10-31,3215.37722347095,2232.73328593374,628.905336330285,2,147.604408,1708.7281,4053.83247052069,6514.33083233726,"MaxWater_noSMSCG",1953,10
1953-11-30,3252.1,2277.62141899318,567,2,133.993435,1721.876,2794.95455420942,4598.6391064493,"MaxWater_noSMSCG",1953,11
1953-12-31,3354.1290262702,2316.20542345635,560.337609827457,2,185.1631615,1743.8379,3267.33746747195,3757.03964188746,"MaxWater_noSMSCG",1953,12
1954-01-31,3535.41934383981,2453.23637671275,567,2,214.640284,1724.5044,1856.6579775921,2783.18881834092,"MaxWater_noSMSCG",1954,1
1954-02-28,3573.98149976798,2801.19995117187,566.999999999999,2,125.526655,661.39124,2104.86865088168,3154.35320371725,"MaxWater_noSMSCG",1954,2
1954-03-31,4054.14141480151,2840.60009765625,756,2,26.2781475,235.86789,2270.2978836661,3402.72197926483,"MaxWater_noSMSCG",1954,3
1954-04-30,4536.64146497976,3186.02557815602,900,2,23.127345,240.0906,1647.3434036924,2471.01510553859,"MaxWater_noSMSCG",1954,4
1954-05-31,4552.1,3361.0099917514,966.617107861618,2,26.6448075,231.61098,1285.61680812224,3356.74697648402,"MaxWater_noSMSCG",1954,5
1954-06-30,4262.78095894126,3201.21249148086,867.914287417442,2,26.557599,239.12354,1635.17427215223,3028.38524438536,"MaxWater_noSMSCG",1954,6
1954-07-31,3508.8970726906,2536.36802478828,568.747901814617,2,24.805365,307.6279,7180,2575.81410539725,"MaxWater_noSMSCG",1954,7
1954-08-31,3163.67674146744,2030.67315236156,515.432029155253,2,24.894582,448.91296,7180,4592.28852900449,"MaxWater_noSMSCG",1954,8
1954-09-30,3133.93299311324,1872.49969093232,471.915729878232,2,47.7238495,978.50165,3451.50710430062,4636.18354849003,"MaxWater_noSMSCG",1954,9
1954-10-31,3007.94645993745,1735.76264263352,427.824508790857,2,155.146762,1652.82,2975.59856962294,5069.12007437482,"MaxWater_noSMSCG",1954,10
1954-11-30,3137.9138346259,1713.46314748273,395.478776873028,2,150.407782,1723.6884,4263.92471822026,3185.58999749559,"MaxWater_noSMSCG",1954,11
1954-12-31,3351.16568609951,1814.67560916229,493.949212377102,2,176.9701525,1735.8557,2670.74650044284,4004.72770162127,"MaxWater_noSMSCG",1954,12
