"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
1993-07-31,18837.0537857947,"MaxDS_Hist",1993,7,"Above Normal"
1993-08-31,10252.0982050541,"MaxDS_Hist",1993,8,"Above Normal"
1993-09-30,11451.5447194683,"MaxDS_Hist",1993,9,"Above Normal"
1993-10-31,8287.15403324429,"MaxDS_Hist",1993,10,"Above Normal"
1993-11-30,7394.78174269753,"MaxDS_Hist",1993,11,"Above Normal"
2000-04-30,3768.08909434251,"MaxDS_Hist",2000,4,"Above Normal"
2000-05-31,8099.9529086454,"MaxDS_Hist",2000,5,"Above Normal"
2000-06-30,21283.5688440795,"MaxDS_Hist",2000,6,"Above Normal"
2000-07-31,23394.767872832,"MaxDS_Hist",2000,7,"Above Normal"
2000-08-31,14427.067204343,"MaxDS_Hist",2000,8,"Above Normal"
2000-09-30,10929.7294977679,"MaxDS_Hist",2000,9,"Above Normal"
2000-10-31,5788.93827656818,"MaxDS_Hist",2000,10,"Above Normal"
2000-11-30,5726.80933023545,"MaxDS_Hist",2000,11,"Above Normal"
2003-04-30,10676.8206384556,"MaxDS_Hist",2003,4,"Above Normal"
2003-05-31,13400.4381331247,"MaxDS_Hist",2003,5,"Above Normal"
2003-06-30,17945.648326501,"MaxDS_Hist",2003,6,"Above Normal"
2003-07-31,22955.9002644143,"MaxDS_Hist",2003,7,"Above Normal"
2003-08-31,13834.3803105758,"MaxDS_Hist",2003,8,"Above Normal"
2003-09-30,10921.3453758105,"MaxDS_Hist",2003,9,"Above Normal"
2003-10-31,11133.2940500506,"MaxDS_Hist",2003,10,"Above Normal"
2003-11-30,5733.79180721293,"MaxDS_Hist",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxWater",1922,4,"Above Normal"
1922-05-31,7661.89760451221,"MaxWater",1922,5,"Above Normal"
1922-06-30,9102.67726063684,"MaxWater",1922,6,"Above Normal"
1922-07-31,11337.102953169,"MaxWater",1922,7,"Above Normal"
1922-08-31,9109.60230598436,"MaxWater",1922,8,"Above Normal"
1922-09-30,7211.43972366751,"MaxWater",1922,9,"Above Normal"
1922-10-31,7233.39977662052,"MaxWater",1922,10,"Above Normal"
1922-11-30,3696.06504702144,"MaxWater",1922,11,"Above Normal"
1928-04-30,4513.30580569027,"MaxWater",1928,4,"Above Normal"
1928-05-31,8308.83085910204,"MaxWater",1928,5,"Above Normal"
1928-06-30,12131.2181970361,"MaxWater",1928,6,"Above Normal"
1928-07-31,16000,"MaxWater",1928,7,"Above Normal"
1928-08-31,13843.1548556086,"MaxWater",1928,8,"Above Normal"
1928-09-30,6371.47907256106,"MaxWater",1928,9,"Above Normal"
1928-10-31,5885.85389154916,"MaxWater",1928,10,"Above Normal"
1928-11-30,5608.27956477852,"MaxWater",1928,11,"Above Normal"
1953-04-30,5770.8333335,"MaxWater",1953,4,"Above Normal"
1953-05-31,7462.09878458833,"MaxWater",1953,5,"Above Normal"
1953-06-30,8864.4815394813,"MaxWater",1953,6,"Above Normal"
1953-07-31,14363.6870330415,"MaxWater",1953,7,"Above Normal"
1953-08-31,9118.54856470237,"MaxWater",1953,8,"Above Normal"
1953-09-30,10399.5749667518,"MaxWater",1953,9,"Above Normal"
1953-10-31,8187.43603307116,"MaxWater",1953,10,"Above Normal"
1953-11-30,5829.51978405078,"MaxWater",1953,11,"Above Normal"
1954-04-30,8951.55561682709,"MaxWater",1954,4,"Above Normal"
1954-05-31,7472.75686746345,"MaxWater",1954,5,"Above Normal"
1954-06-30,9711.08330811329,"MaxWater",1954,6,"Above Normal"
1954-07-31,16000,"MaxWater",1954,7,"Above Normal"
1954-08-31,11845.9591628078,"MaxWater",1954,8,"Above Normal"
1954-09-30,6291.80250597083,"MaxWater",1954,9,"Above Normal"
1954-10-31,7262.86720784001,"MaxWater",1954,10,"Above Normal"
1954-11-30,3469.97034793113,"MaxWater",1954,11,"Above Normal"
1973-04-30,3170.32483256344,"MaxWater",1973,4,"Above Normal"
1973-05-31,5571.71078759388,"MaxWater",1973,5,"Above Normal"
1973-06-30,9111.78113611664,"MaxWater",1973,6,"Above Normal"
1973-07-31,15494.4910188524,"MaxWater",1973,7,"Above Normal"
1973-08-31,8733.78629341779,"MaxWater",1973,8,"Above Normal"
1973-09-30,7570.96756782155,"MaxWater",1973,9,"Above Normal"
1973-10-31,4518.59416055322,"MaxWater",1973,10,"Above Normal"
1973-11-30,18907.3698236166,"MaxWater",1973,11,"Above Normal"
1978-04-30,3148.32202921588,"MaxWater",1978,4,"Above Normal"
1978-05-31,8334.91086185517,"MaxWater",1978,5,"Above Normal"
1978-06-30,7346.7766123011,"MaxWater",1978,6,"Above Normal"
1978-07-31,9795.2944915418,"MaxWater",1978,7,"Above Normal"
1978-08-31,10867.5088032507,"MaxWater",1978,8,"Above Normal"
1978-09-30,10101.0209450836,"MaxWater",1978,9,"Above Normal"
1978-10-31,7756.00805982107,"MaxWater",1978,10,"Above Normal"
1978-11-30,5567.34852541279,"MaxWater",1978,11,"Above Normal"
1993-04-30,3159.41311512896,"MaxWater",1993,4,"Above Normal"
1993-05-31,6852.11934555576,"MaxWater",1993,5,"Above Normal"
1993-06-30,10113.4613659621,"MaxWater",1993,6,"Above Normal"
1993-07-31,12511.545161636,"MaxWater",1993,7,"Above Normal"
1993-08-31,7800.24269794575,"MaxWater",1993,8,"Above Normal"
1993-09-30,8375.4788780738,"MaxWater",1993,9,"Above Normal"
1993-10-31,7670.37813897162,"MaxWater",1993,10,"Above Normal"
1993-11-30,6433.47874664782,"MaxWater",1993,11,"Above Normal"
2000-04-30,3768.08909434253,"MaxWater",2000,4,"Above Normal"
2000-05-31,8099.95290864542,"MaxWater",2000,5,"Above Normal"
2000-06-30,8940.30759185553,"MaxWater",2000,6,"Above Normal"
2000-07-31,16000,"MaxWater",2000,7,"Above Normal"
2000-08-31,9756.3408012989,"MaxWater",2000,8,"Above Normal"
2000-09-30,8923.52483734868,"MaxWater",2000,9,"Above Normal"
2000-10-31,7259.81520065318,"MaxWater",2000,10,"Above Normal"
2000-11-30,4636.9901818586,"MaxWater",2000,11,"Above Normal"
2003-04-30,11060.7862405034,"MaxWater",2003,4,"Above Normal"
2003-05-31,13400.4381331247,"MaxWater",2003,5,"Above Normal"
2003-06-30,6951.30083351801,"MaxWater",2003,6,"Above Normal"
2003-07-31,16000,"MaxWater",2003,7,"Above Normal"
2003-08-31,7602.31642608878,"MaxWater",2003,8,"Above Normal"
2003-09-30,9803.8207773515,"MaxWater",2003,9,"Above Normal"
2003-10-31,8218.22108780086,"MaxWater",2003,10,"Above Normal"
2003-11-30,4318.423164912,"MaxWater",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxWater_noSMSCG",1922,4,"Above Normal"
1922-05-31,7662.2872831214,"MaxWater_noSMSCG",1922,5,"Above Normal"
1922-06-30,9108.31178183901,"MaxWater_noSMSCG",1922,6,"Above Normal"
1922-07-31,11342.8687752692,"MaxWater_noSMSCG",1922,7,"Above Normal"
1922-08-31,9114.12285618014,"MaxWater_noSMSCG",1922,8,"Above Normal"
1922-09-30,7214.58828430187,"MaxWater_noSMSCG",1922,9,"Above Normal"
1922-10-31,7192.65361568023,"MaxWater_noSMSCG",1922,10,"Above Normal"
1922-11-30,3696.08957637858,"MaxWater_noSMSCG",1922,11,"Above Normal"
1928-04-30,4513.30580569027,"MaxWater_noSMSCG",1928,4,"Above Normal"
1928-05-31,8310.29454159517,"MaxWater_noSMSCG",1928,5,"Above Normal"
1928-06-30,12132.441308933,"MaxWater_noSMSCG",1928,6,"Above Normal"
1928-07-31,16000,"MaxWater_noSMSCG",1928,7,"Above Normal"
1928-08-31,13835.7051151574,"MaxWater_noSMSCG",1928,8,"Above Normal"
1928-09-30,6371.39682231357,"MaxWater_noSMSCG",1928,9,"Above Normal"
1928-10-31,5892.68312777444,"MaxWater_noSMSCG",1928,10,"Above Normal"
1928-11-30,5614.42925293363,"MaxWater_noSMSCG",1928,11,"Above Normal"
1953-04-30,5770.8333335,"MaxWater_noSMSCG",1953,4,"Above Normal"
1953-05-31,7462.33359195308,"MaxWater_noSMSCG",1953,5,"Above Normal"
1953-06-30,8864.48153948129,"MaxWater_noSMSCG",1953,6,"Above Normal"
1953-07-31,14363.968930842,"MaxWater_noSMSCG",1953,7,"Above Normal"
1953-08-31,9118.28384583915,"MaxWater_noSMSCG",1953,8,"Above Normal"
1953-09-30,10399.5749667518,"MaxWater_noSMSCG",1953,9,"Above Normal"
1953-10-31,8187.43364849161,"MaxWater_noSMSCG",1953,10,"Above Normal"
1953-11-30,5829.5222457266,"MaxWater_noSMSCG",1953,11,"Above Normal"
1954-04-30,8951.55561682708,"MaxWater_noSMSCG",1954,4,"Above Normal"
1954-05-31,7472.75686746345,"MaxWater_noSMSCG",1954,5,"Above Normal"
1954-06-30,9715.85856111327,"MaxWater_noSMSCG",1954,6,"Above Normal"
1954-07-31,16000,"MaxWater_noSMSCG",1954,7,"Above Normal"
1954-08-31,11847.3272492332,"MaxWater_noSMSCG",1954,8,"Above Normal"
1954-09-30,6295.34746281343,"MaxWater_noSMSCG",1954,9,"Above Normal"
1954-10-31,7282.1370567828,"MaxWater_noSMSCG",1954,10,"Above Normal"
1954-11-30,3436.51322093114,"MaxWater_noSMSCG",1954,11,"Above Normal"
1973-04-30,3250,"MaxWater_noSMSCG",1973,4,"Above Normal"
1973-05-31,5576.87015401201,"MaxWater_noSMSCG",1973,5,"Above Normal"
1973-06-30,9219.68422976931,"MaxWater_noSMSCG",1973,6,"Above Normal"
1973-07-31,15699.473355147,"MaxWater_noSMSCG",1973,7,"Above Normal"
1973-08-31,8844.32073733718,"MaxWater_noSMSCG",1973,8,"Above Normal"
1973-09-30,5883.7597796182,"MaxWater_noSMSCG",1973,9,"Above Normal"
1973-10-31,6825.67495034356,"MaxWater_noSMSCG",1973,10,"Above Normal"
1973-11-30,18067.2304554802,"MaxWater_noSMSCG",1973,11,"Above Normal"
1978-04-30,3144.8217423486,"MaxWater_noSMSCG",1978,4,"Above Normal"
1978-05-31,8334.91086185517,"MaxWater_noSMSCG",1978,5,"Above Normal"
1978-06-30,7346.7766123011,"MaxWater_noSMSCG",1978,6,"Above Normal"
1978-07-31,9795.2944915418,"MaxWater_noSMSCG",1978,7,"Above Normal"
1978-08-31,10867.5088032507,"MaxWater_noSMSCG",1978,8,"Above Normal"
1978-09-30,9350.62299515808,"MaxWater_noSMSCG",1978,9,"Above Normal"
1978-10-31,7756.00805982106,"MaxWater_noSMSCG",1978,10,"Above Normal"
1978-11-30,5603.47904267339,"MaxWater_noSMSCG",1978,11,"Above Normal"
1993-04-30,3159.41312112028,"MaxWater_noSMSCG",1993,4,"Above Normal"
1993-05-31,6852.60351466745,"MaxWater_noSMSCG",1993,5,"Above Normal"
1993-06-30,10113.4613659621,"MaxWater_noSMSCG",1993,6,"Above Normal"
1993-07-31,12511.5724995883,"MaxWater_noSMSCG",1993,7,"Above Normal"
1993-08-31,7800.30530947202,"MaxWater_noSMSCG",1993,8,"Above Normal"
1993-09-30,8375.47887807379,"MaxWater_noSMSCG",1993,9,"Above Normal"
1993-10-31,7677.96045688998,"MaxWater_noSMSCG",1993,10,"Above Normal"
1993-11-30,6433.13504200579,"MaxWater_noSMSCG",1993,11,"Above Normal"
