"month","region","year","sal_June","sal_MaxDS_Even","sal_MaxDS_Hist","sal_MaxWater","sal_MaxWater_noSMSCG","sal_StatusQuo","sal_Summer_Even","sal_Summer_Even_AltSMSCG","sal_Summer_Hist","sal_SummerFall_Even","sal_SummerFall_Hist"
1,"Confluence",1940,0.416370780989372,0.417765142193667,0.409576373004974,0.416569342970424,0.409946826987132,0.422978142009462,0.422312890255368,0.421556285101407,0.420358070454698,0.410292225051467,0.409946826987132
1,"Confluence",1941,0.171265752466649,0.177056855876253,0.178631413431328,0.171441796199612,0.171104026926785,0.170537134413281,0.172745032000664,0.17274617543761,0.17159675374347,0.171544644090994,0.171104026926785
1,"Confluence",1942,0.172973553635186,0.179868357067433,0.179101680963793,0.172973480226437,0.174933302662323,0.174173919035062,0.17404672920409,0.174046515059378,0.173319122513017,0.174851519764199,0.174933302662323
1,"Confluence",1943,0.178810829293798,0.199069960667572,0.192230617277203,0.178812612426115,0.182611670701713,0.181836890078394,0.182666721785246,0.182666607533782,0.180116618274641,0.184657151137287,0.182611670701713
1,"Confluence",1944,4.25589663947969,4.18717531540942,3.58786175736986,7.31991147081384,5.10500305066108,4.89946288454672,7.40347576413102,7.4035218811585,5.44727017879603,4.78894350001809,5.10500305066108
1,"Confluence",1945,3.0267958021127,4.27608572168332,3.90185354681884,2.93639832261466,3.4684634421512,3.22329384174097,3.22244312771973,3.23376440699146,3.26343034886576,3.32877719986266,3.4684634421512
1,"Confluence",1946,0.203219630900079,0.203444267733889,0.204021821588922,0.203246322170785,0.203241444002602,0.203171427961709,0.203198417310581,0.203182678063197,0.203222205281581,0.203225232525017,0.203241444002602
1,"Confluence",1947,9.62788702000639,9.1855631684533,9.61143182122854,9.65498620362947,9.6558371914083,9.65000605516358,9.63794859394258,9.90535550348364,9.63791320762186,9.65674145747217,9.6558371914083
1,"Confluence",1948,6.49277759903625,6.55545747681334,6.55371645927114,6.48563029215229,6.51697811831224,6.49249335575687,6.50786254993068,6.48931078749649,6.50954995755704,6.50373731585375,6.51697811831224
1,"Confluence",1949,8.19672110248801,8.20934888645222,8.21795424867195,8.17589090434222,8.20250318257521,8.19519140181796,8.15379265278918,8.06574623236747,8.16021968019426,8.22071827276461,8.20250318257521
1,"Confluence",1950,1.53686112090519,1.54541973282564,1.57636900021563,1.53385593292631,1.53673290495292,1.53802037771352,1.53236187058241,1.52979953414516,1.53246477952663,1.5469422611373,1.53673290495292
1,"Confluence",1951,0.174464513622614,0.174494640430952,0.174488486720582,0.174473586910719,0.174472697323983,0.174477660416758,0.174476340014629,0.174477407571992,0.174473343443823,0.174479936058126,0.174472697323983
